appid,game_name,release_year,rec_cpu_requirement,rec_gpu_requirement,rec_ram_gb,matched_cpu_chipset,matched_cpu_price,matched_gpu_chipset,matched_gpu_price,matched_ram_size,matched_ram_price,total_estimated_price
352190,Spirit of War,2015,2nd generation Intel Core i5,2 Gb Nvidia or AMD DX9 capabilities,4,Intel Core i5-4570T,49,GeForce GT 730,59.99,4 GB,5,113.99
404860,Inside Me,2015,Intel Core i3 3.07 GHz,GeForce 250 GTS or Radeon HD 5750 or better,4,Intel Xeon E3-1220 V6,25,GeForce GT 730,59.99,4 GB,5,89.99
356210,Tony Tough and the Night of Roasted Moths,2015,1.5 GHz Processor,100% DirectX compatible graphics,1,Intel Pentium E2220,12.99,GeForce GT 730,59.99,2 GB,11,83.98
408750,Starsphere,2015,1.4GHz processor or faster,DirectX 8-compatible graphics card with at least 32MB of video memory,1,Intel Pentium E2220,12.99,GeForce GT 710,45.99,2 GB,11,69.98
365060,Titanis,2015,2.5 GHz,OpenGL 3.1,2,Intel Pentium E5700,14.99,GeForce GT 730,59.99,2 GB,11,85.98
290340,Armello,2015,Quad-core 2.5GHz (SSE2),DirectX 11 SM4.0 capable GPU with 2GB VRAM,4,Intel Pentium E5700,14.99,GeForce GTX 750 Ti,395,4 GB,5,414.99
262190,Zombeer,2015,2.00 GHz Intel® Core™2 Duo or similar,1024 MB DirectX® 10—compliant with Shader Model 4.0 or higher,4,Intel Pentium E2220,12.99,GeForce GTX 750 Ti,395,4 GB,5,412.99
360720,Soda Star,2015,1.2 GHz processor,DirectX 9-compatible graphics card with at least 32MB of video memory,0.5,Intel Pentium E2220,12.99,GeForce GT 710,45.99,2 GB,11,69.98
354180,Bunker - The Underground Game,2015,2.5 GHz (Single Core) or 2 GHz (Dual Core),OpenGL 2.0 compatible with 512 MB RAM (Shared Memory is not recommended),4,Intel Pentium E5700,14.99,GeForce GT 730,59.99,4 GB,5,79.98
338000,Echoes+,2015,1GHz processor or faster,Pixel Shader 2.0 and Vertex Shader 2.0,0.5,Intel Pentium E2220,12.99,GeForce GT 710,45.99,2 GB,11,69.98
279720,The I of the Dragon,2015,Intel or AMD Dual Core CPU,Shader 3.0 or higher,4,Intel Pentium E2220,12.99,GeForce GT 730,59.99,4 GB,5,77.98
367040,InsanZ - Retro Survival Horror,2015,Pentium 4 2.66 Ghz (or equivalent),ATI or NVidia card 1024 MB RAM,3,Intel Pentium E5700,14.99,GeForce GTX 1660,231.32,4 GB,11.77,258.08
351710,Hyperdimension Neptunia Re;Birth2: Sisters Generation,2015,3GHz Intel i3 or equivalent,DirectX 10.x or OpenGL 3.3 or better graphics card with 1 GB RAM and support for v4 shaders,6,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,16 GB,31.99,201.85
410540,Starlord,2015,1.5 GHz Processor,100% DirectX compatible graphics,0.3,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
395860,The Last Dream: Developer's Edition,2015,2Ghz,512 MB VRAM,2.0,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
332730,Barbarian Brawl,2015,64-bit Dual Core CPU running at 3.0 GHz or higher,Dedicated graphics card supporting Shader Model 3.0 and 1 GB,4,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,4 GB,11.77,181.63
336710,Supreme League of Patriots - Episode 2: Patriot Frames,2015,2 GHz (Dual Core),AMD or Nvidia with 512MB VRAM,4,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,4 GB,11.77,179.63
284220,Diadra Empty,2015,Intel® 2 GHz Processor or comparable,DirectX® 9-level Graphics Card,1,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
312230,Spirits of Xanadu,2015,3 GHz dual-core or better,Dedicated graphics card with 512MB of VRAM and shader model 3.0,4,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,4 GB,11.77,181.63
367220,Egyptian Settlement Gold,2015,Intel I5,DirectX compatible 3D graphic adapter,4,Intel Core i5-2400,49.99,GeForce GTX 460,154.87,4 GB,11.77,216.63
373330,All Is Dust,2015,Intel Core i7 4770,Nvidia GTX 660 2GB,16,Intel Core i7-4770K,99,GeForce GTX 1660,231.32,16 GB,43.83,374.15
268870,Satellite Reign,2015,x86 Quad Core 3.4GHz or greater,DirectX 11 GPU with 2GB of memory,4,Intel Xeon E3-1220 V6,25,GeForce GTX 760,269,4 GB,11.77,305.77
350010,Time Mysteries: Inheritance - Remastered,2015,2 GHz,256 MB VRAM,1,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
387840,Alpha Runner,2015,1.4GHz processor or faster,DirectX 8-compatible graphics card with at least 32MB of video memory,1,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
410710,System Shock: Enhanced Edition,2015,1.5 GHz Processor,Any 100% OpenGL capable card (Card or Onboard),0.3,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
395900,Backgammon Blitz,2015,2.0+ GHz Dual Core,NVIDIA GeForce GTX 650 or AMD Radeon HD 6800,3,Intel Core i3-7100T,29,Radeon RX 6500 XT,110.49,4 GB,11.77,151.26
403670,Lumber Island - That Special Place,2015,Dual Core 3.0GHz or equivalent,NVidia GeForce GTX 650 or AMD Radeon 775 or higher,4,Intel Pentium E5700,14.99,Radeon RX 6500 XT,110.49,4 GB,11.77,137.25
368950,Jigoku Kisetsukan: Sense of the Seasons,2015,2.2 GHz processor,DirectX 9.0c support,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
365680,BRAWL,2015,Intel Core2 Duo 3Ghz,nVidia GeForce GTX 660 2GB,4,Intel Pentium E5700,14.99,GeForce GTX 1660,231.32,4 GB,11.77,258.08
291770,The Last Crown: Midnight Horror,2015,3.0 Ghz,256 MB DX 9.0c compliant video card,2,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,2 GB,11.74,181.60
347820,Street Arena,2015,Quad Core 2.0 GHz,GeForce 460 GTX,2,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
397270,A Kiss For The Petals - Remembering How We Met,2015,Pentium IV 1 GHz +,DirectX or OpenGL Compatible Card,1.0,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
339850,Overclocked: A History of Violence,2015,2 GHz Dual Core Intel or AMD processor,DirectX 9 compliant video card Shader Model 3,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
410490,Elements: Epic Heroes,2015,Intel Core i5 2.5 MHz,DirectX 9.0c compatible graphics card,1,Intel Pentium E5700,14.99,GeForce 9500 GT,119.99,2 GB,11.74,146.72
411680,Loot Hound™,2015,Intel Core i3 or AMD Ryzen 3 5300G,Geforce GTX 1650 or higher,8,Intel Core i3-7100T,29,GeForce GTX 1650 SUPER,419,16 GB,31.99,479.99
403700,Zero Punctuation: Hatfall - Hatters Gonna Hat Edition,2015,1.8GHz processor or faster,DirectX 9-compatible graphics card with at least 1024MB of video memory,4,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,4 GB,11.77,144.75
370310,Tompi Jones,2015,Corei5,DirectX 9 compatible graphics card with 4 GB memory,4,Intel Core i5-2400,49.99,GeForce 9500 GT,119.99,4 GB,11.77,181.75
393170,Bit Shifter,2015,3.0GHz,512MB OpenGL compatible,4,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,4 GB,11.77,181.63
385980,Scott in Space,2015,2.0 GHz Dual Core Processor,512 MB nVidia or AMD card with support for OpenGL 2.0+,4,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,4 GB,11.77,179.63
368760,Playing History: Vikings,2015,Intel Core i5 2.5 GHz,NVIDIA GTX 560Ti &amp; higher / 1GB VRAM,4,Intel Pentium E5700,14.99,GeForce GTX 560 Ti,701.12,4 GB,11.77,727.88
429040,Furfly,2015,2.4 Ghz,1GB VRAM,2,Intel Pentium E2220,12.99,GeForce GTX 1660,231.32,2 GB,11.74,256.05
338960,Rescue Team,2015,1 GHz,Video 128 MB RAM,1,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
367780,Aero's Quest,2015,2 GHz or higher,1GB VRAM or better,2,Intel Pentium E2220,12.99,GeForce GTX 1660,231.32,2 GB,11.74,256.05
369570,Spectra,2015,2.8 GHz Quad Core,1-2 GB VRAM,4,Intel Pentium E5700,14.99,GeForce GTX 760,269,4 GB,11.77,295.76
365420,Apollo4x,2015,2.0 Ghz,DirectX Compatible,2.0,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
391960,Super Mega Bob,2015,Intel Core2 Duo T9400 @ 2.53GHz or comparable processor,512MB+ supporting Shader Model 2.0 and DirectX 9.0c.,8,Intel Pentium E5700,14.99,GeForce 9500 GT,119.99,16 GB,31.99,166.97
336730,Supreme League of Patriots - Episode 3: Ice Cold in Ellis,2015,2 GHz (Dual Core),AMD or Nvidia with 512MB VRAM,4,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,4 GB,11.77,179.63
396890,Gridworld,2015,3.0+ GHz quad-core CPU (e.g. Intel Core i5 / Ryzen 5),Dedicated GPU with OpenGL 4.3+ (e.g. NVIDIA GTX 1050 / AMD RX 560 or newer),16,Intel Core i5-2400,49.99,GeForce GTX 1050 Ti,263.99,16 GB,43.83,357.81
334960,Cell HD: emergence,2015,quad core,graphics card compatible with XNA HiDef Profile (roughly DirectX 10),4,Intel Xeon E3-1220 V6,25,GeForce GTX 460,154.87,4 GB,11.77,191.64
394280,Dark Heritage: Guardians of Hope,2015,2 GHz,256 MB VRAM,1,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
340450,Crashed Lander,2015,Intel Core i5 or equivalent,NVidia 560ti or equivalent,2,Intel Core i5-2400,49.99,GeForce GTX 660 Ti,239,2 GB,11,299.99
304580,CITYCONOMY: Service for your City,2015,Quad-core Intel Core i7 processor with 3.6 GHz or better,DirectX 11-compatible graphics card (NVIDIA GeForce GTX 780 or better),6,Intel Pentium Gold G5420,29,GeForce GTX 760,269,16 GB,31.99,329.99
345580,Universal Combat CE,2015,Quad Core,DirectX SM3.0 compliant with 1GB memory,4,Intel Xeon E3-1220 V6,25,GeForce GTX 460,154.87,4 GB,11.77,191.64
274170,Hotline Miami 2: Wrong Number,2015,2.8 GHz Intel Core 2 Duo or better,OpenGL 3.2 compatible GPU with at least 512MB of VRAM,2,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,2 GB,11.74,181.60
392690,Erwin's Timewarp,2015,Intel Core i5,NVIDIA GeForce GTX 660 Ti 2GB,4,Intel Core i5-2400,49.99,GeForce GTX 660 Ti,239,4 GB,5,293.99
255710,Cities: Skylines,2015,Intel® Core™ I7 2700K | AMD® Ryzen 7 2700X,Nvidia® GeForce™ GTX 580 (1.5 GB) | AMD® Radeon™ RX 560 (4 GB),16,Intel Pentium E5700,14.99,Radeon RX 580,159.99,16 GB,43.83,218.81
349140,Corrosion: Cold Winter Waiting [Enhanced Edition],2015,Dual Core 2 GHz,128 MB DirectX compatible graphics card,0.5,Intel Pentium E2220,12.99,GeForce GTX 460,154.87,2 GB,11.74,179.60
353700,The Deadly Tower of Monsters,2016,Intel Core i5,NVIDIA GeForce GTX 280,4,Intel Core i5-2400,49.99,GeForce GTX 570,398,4 GB,11.77,459.76
547920,Our Darkest Night,2016,Intel Core i5 (or equivalent),4 GB VRAM Compatible with DirectX 11,1.0,Intel Core i5-2400,49.99,GeForce GTX 760,269,2 GB,11.74,330.73
520990,Barrow Hill: The Dark Path,2016,3.0 Ghz,256 MB DX 9.0c compliant video card,2,Intel Pentium E5700,14.99,GeForce GTX 460,154.87,2 GB,11.74,181.60
500810,Arcanum: Of Steamworks and Magick Obscura,2016,1.4 GHz,DirectX 9 Compatible 3D Card,0.5,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
514490,Ultimate Word Search 2: Letter Boxed,2016,1.0 GHz,vCard with DirectX 9.0 support,2,Intel Pentium E2220,12.99,GeForce 9500 GT,119.99,2 GB,11.74,144.72
461180,SurrealVR,2016,Intel i7-4770,NVIDIA GTX 980,16,Intel Core i7-4770K,99,GeForce GTX 980,389,16 GB,43.83,531.83
527340,What The Box?,2016,Intel Core i5 or higher,Geforce GT 740 / Radeon R7 250 or above,4,Intel Core i5-2400,49.99,GeForce GT 740,147,4 GB,5,201.99
513060,Wills and Wonders,2016,Quad Core 2.66 GHz,Geforce GTX 660 Ti,4,Intel Pentium E5700,14.99,GeForce GTX 660 Ti,239,4 GB,5,258.99
531660,Exoplanet: First Contact,2016,Intel i7 4770k / AMD Ryzen 5 1500X,NVIDIA GeForce GTX 780 / AMD Radeon R9 290X,16,AMD Ryzen 5 5500,74.22,Radeon RX 7800 XT,599.99,16 GB,43.83,718.04
